Recorrido	Fecha y hora		Controlar
18	19.12.2021 16:00	Granada - Mallorca	4 : 1
18	19.12.2021 18:15	Atlético B – Real Betis	3 : 2
18	19.12.2021 20:30	Getafe - Osasuna	1 : 0
18	19.12.2021 23:00	Real Madrid - Cádiz	0 : 0
18	20.12.2021 23:00	Levante - Valencia	3 : 4
4	21.12.2021 21:00	Villarreal - Alavés	5 : 2
4	21.12.2021 23:30	Sevilla – Barcelona	1 : 1
9	22.12.2021 21:00	Granada - Atlético M	2 : 1
21	22.12.2021 23:30	Atlético B - Real Madrid	1 : 2
19	31/12/2021 18:15	Valencia - Espanyol	1 : 2
19	02.01.2022 16:00	Getafe - Real Madrid	1 : 0
19	02.01.2022 18:15	Elche - Granada	0 : 0
19	02.01.2022 18:15	Atlético M - Rayo Vallecano	2 : 0
19	02.01.2022 20:30	Alavés - Real Sociedad	1 : 1
19	02.01.2022 20:30	Betis - Celta	0 : 2
19	02.01.2022 23:00	Mallorca - Barcelona	0 : 1
19	03.01.2022 21:00	Villarreal – Levante	5 : 0
19	03.01.2022 23:00	Osasuna - Atlético B	1 : 3
19	03.01.2022 23:15	Cádiz – Sevilla	0 : 1
20	08.01.2022 16:00	Levante - Mallorca	2 : 0
20	08.01.2022 18:15	Real Sociedad - Celta de Vigo	1 : 0
20	08.01.2022 20:30	Granada - Barcelona	1 : 1
20	08.01.2022 23:00	Real Madrid - Valencia	4 : 1
20	09.01.2022 16:00	Rayo Vallecano - Betis	1 : 1
20	09.01.2022 18:15	Sevilla – Getafe	1 : 0
20	09.01.2022 20:30	Osasuna - Cádiz	2 : 0
20	09.01.2022 20:30	Alavés – Atlético B	0 : 0
20	09.01.2022 23:00	Villarreal - Atlético M	2 : 2
20	10.01.2022 23:00	Espanyol - Elche	1 : 2
21	16.01.2022 16:00	Elche - Villarreal	1 : 0
21	18.01.2022 22:00	Betis - Alavés	4 : 0
21	18.01.2022 23:30	Cádiz - Espanyol	2 : 2
21	19.01.2022 21:00	Celta - Osasuna	2 : 0
21	19.01.2022 23:30	Valencia – Sevilla	1 : 1
21	20.01.2022 21:00	Getafe - Granada	4 : 2
22	21.01.2022 23:00	Espanyol - Betis	1 : 4
22	22.01.2022 16:00	Levante - Cádiz	0 : 2
22	22.01.2022 18:15	Villarreal - Mallorca	3 : 0
22	22.01.2022 20:30	Sevilla - Celta	2 : 2
22	22.01.2022 23:00	Atlético M - Valencia	3 : 2
22	23.01.2022 16:00	Granada - Osasuna	0 : 2
22	23.01.2022 18:15	Real Madrid - Elche	2 : 2
22	23.01.2022 20:30	Rayo Vallecano - Athletic Club B	0 : 1
22	23.01.2022 20:30	Real Sociedad - Getafe	0 : 0
22	23.01.2022 23:00	Alavés - Barcelona	0 : 1
23	04.02.2022 23:00	Getafe - Levante	3 : 0
23	05.02.2022 16:00	Elche - Alavés	3 : 1
